,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,Yes,Mod. Following,Tax Actual Pay Date (EOD),Accounting Settlement Value Day,,End of Day,,Tax Actual Pay Date (EOD),Daily,Reverse and Replace,Accounting Settlement Value Day,,Settlement,SendToEMAS,Yes,,Debit,Tax Actual Pay Date (EOD)|Amount|Debit,Amount,,
,,,,,,,,,,,,,,,,,Credit,Tax Actual Pay Date (EOD)|Amount|Credit,Amount,,
Contract Trdnbr and Moneyflow,,Mod. Following,Bond_MF_Pay Date Principal,Accounting Moneyflow Pay Day,,End of Day,,Bond_MF_Pay Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,Bond_MF_Pay Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Bond_MF_Pay Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trdnbr and Moneyflow,,Mod. Following,FX Option_MF_Payment Premium Trade Date,Accounting Moneyflow Payment Valid From Date,,End of Day,,FX Option_MF_Payment Premium Trade Date,Daily,Reverse and Replace,Accounting Moneyflow Payment Valid From Date,,Money Flow,SendToEMAS,Yes,,Debit,FX Option_MF_Payment Premium Trade Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FX Option_MF_Payment Premium Trade Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trdnbr and Moneyflow,,Mod. Following,FX Option_MF_Payment Premium Value Date (For MMLD trades with instalments),Accounting Moneyflow Pay Day,,End of Day,,FX Option_MF_Payment Premium Value Date,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,FX Option_MF_Payment Premium Value Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FX Option_MF_Payment Premium Value Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,FX Option_MF_Termination Fee,Accounting Moneyflow Pay Day,,End of Day,,FX Option_MF_Termination Fee,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,FX Option_MF_Termination Fee|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FX Option_MF_Termination Fee|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,FX Option_MF_Termination Fee_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,FX Option_MF_Termination Fee_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Termination Fee,,Debit,FX Option_MF_Termination Fee_FCY_ACCY|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,FX Option_MF_Termination Fee_FCY_ACCY|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,FX Option_MF_Termination Fee_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,FX Option_MF_Termination Fee_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Termination Fee,,Debit,FX Option_MF_Termination Fee_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,FX Option_MF_Termination Fee_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Bond_TD_Daily Modification Fee Amortization,Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Modification Fee Amortization,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Daily Modification Fee Amortization|Portfolio Realized Deprec P/L split by Modification PV Fee|Debit,Portfolio Realized Deprec P/L split by Modification PV Fee,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Daily Modification Fee Amortization|Portfolio Realized Deprec P/L split by Modification PV Fee|Credit,Portfolio Realized Deprec P/L split by Modification PV Fee,,
Trade,,Mod. Following,Bond_TD_Daily Modification Fee Amortization_FCY (NI),Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Modification Fee Amortization_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,,,,Debit,Bond_TD_Daily Modification Fee Amortization_FCY (NI)|Portfolio Realized Deprec P/L split by Modification PV Fee|Debit,Portfolio Realized Deprec P/L split by Modification PV Fee,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Daily Modification Fee Amortization_FCY (NI)|Portfolio Realized Deprec P/L split by Modification PV Fee|Credit,Portfolio Realized Deprec P/L split by Modification PV Fee,,
Trade,,Mod. Following,Bond_TD_Daily Modification Fee Amortization_FCY_ACCY,Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Modification Fee Amortization_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,FxRevalAICat,Instrument,,Debit,Bond_TD_Daily Modification Fee Amortization_FCY_ACCY|Realized Deprec PL split by Modification PV Fee Acc Curr|Debit,Realized Deprec PL split by Modification PV Fee Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,Bond_TD_Daily Modification Fee Amortization_FCY_ACCY|Realized Deprec PL split by Modification PV Fee Acc Curr|Credit,Realized Deprec PL split by Modification PV Fee Acc Curr,,
Tax Lot Closing,,Mod. Following,Bond_TD_Trade Date Sell RPL,ClosingTrade.TradeTime,,End of Day,,Bond_TD_Trade Date Sell RPL,Daily,Reverse and Replace,ClosingTrade.TradeTime,,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Trade Date Sell RPL|Portfolio Pure Realized Profit and Loss|Debit,Portfolio Pure Realized Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Trade Date Sell RPL|Portfolio Pure Realized Profit and Loss|Credit,Portfolio Pure Realized Profit and Loss,,
Contract Trade Number,,Mod. Following,PSAK_TD_Total Amortization Maturity Date,Accounting Instrument Expiry Date,,End of Day,,PSAK_TD_Total Amortization Maturity Date,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,PSAK_TD_Total Amortization Maturity Date|Portfolio Realized Deprec Profit and Loss|Debit,Portfolio Realized Deprec Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,PSAK_TD_Total Amortization Maturity Date|Portfolio Realized Deprec Profit and Loss|Credit,Portfolio Realized Deprec Profit and Loss,,
Trade,,Mod. Following,Bond_TD_Trade Date Sell Premium,Accounting Trade Time,,End of Day,,Bond_TD_Trade Date Sell Premium,Daily,Default,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Trade Date Sell Premium|Trade Premium Dv|Debit,Trade Premium Dv,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Trade Date Sell Premium|Trade Premium Dv|Credit,Trade Premium Dv,,
Contract Trade Number,,Mod. Following,MM_TD_Daily Attributable Fee Amortization,Accounting Expiry Day-1 Business Day,Yes,End of Day,,MM_TD_Daily Attributable Fee Amortization,Daily,Reverse and Replace,Accounting Value Day,,Trade,SendToEMAS,Yes,,Debit,MM_TD_Daily Attributable Fee Amortization|Portfolio Realized Deprec Profit and Loss|Debit,Portfolio Realized Deprec Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,MM_TD_Daily Attributable Fee Amortization|Portfolio Realized Deprec Profit and Loss|Credit,Portfolio Realized Deprec Profit and Loss,,
Contract Trade Number,,Mod. Following,MM_TD_Daily Attributable Fee Amortization_FCY (NI),Accounting Expiry Day-1 Business Day,Yes,End of Day,,MM_TD_Daily Attributable Fee Amortization_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,,Trade,,,,Credit,MM_TD_Daily Attributable Fee Amortization_FCY (NI)|Portfolio Realized Deprec Profit and Loss|Credit,Portfolio Realized Deprec Profit and Loss,,
,,,,,,,,,,,,,,,,,Debit,MM_TD_Daily Attributable Fee Amortization_FCY (NI)|Portfolio Realized Deprec Profit and Loss|Debit,Portfolio Realized Deprec Profit and Loss,,
Contract Trade Number,,Mod. Following,MM_TD_Daily Attributable Fee Amortization_FCY_ACCY,Accounting Expiry Day-1 Business Day,Yes,End of Day,,MM_TD_Daily Attributable Fee Amortization_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,,Trade,FxRevalAICat,Instrument,,Debit,MM_TD_Daily Attributable Fee Amortization_FCY_ACCY|PSAK Realized Depreciation Acc Curr|Debit,PSAK Realized Depreciation Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,MM_TD_Daily Attributable Fee Amortization_FCY_ACCY|PSAK Realized Depreciation Acc Curr|Credit,PSAK Realized Depreciation Acc Curr,,
Contract Trade Number,,Mod. Following,Bond Issue_TD_Premium/Discount Maturity Date,Accounting Instrument Expiry Date,,End of Day,,Bond Issue_TD_Premium/Discount Maturity Date,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,Bond Issue_TD_Premium/Discount Maturity Date|Portfolio Realized Deprec P/L split by Price|Debit,Portfolio Realized Deprec P/L split by Price,,
,,,,,,,,,,,,,,,,,Credit,Bond Issue_TD_Premium/Discount Maturity Date|Portfolio Realized Deprec P/L split by Price|Credit,Portfolio Realized Deprec P/L split by Price,,
Contract Trade Number,,Mod. Following,Bond Issue_TD_ Attributable Fee Maturity Date,Accounting Instrument Expiry Date,,End of Day,,Bond Issue_TD_ Attributable Fee Maturity Date,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,Bond Issue_TD_ Attributable Fee Maturity Date|Portfolio Realized Deprec P/L split by Attributable Fee|Debit,Portfolio Realized Deprec P/L split by Attributable Fee,,
,,,,,,,,,,,,,,,,,Credit,Bond Issue_TD_ Attributable Fee Maturity Date|Portfolio Realized Deprec P/L split by Attributable Fee|Credit,Portfolio Realized Deprec P/L split by Attributable Fee,,
Trade,,Mod. Following,MMLD FXO_TD_Trade Date Offbalance,Accounting Trade Time,,End of Day,,MMLD FXO_TD_Trade Date Offbalance,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,MMLD FXO_TD_Trade Date Offbalance|Accounting MMLD notional|Debit,Accounting MMLD notional,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_TD_Trade Date Offbalance|Accounting MMLD notional|Credit,Accounting MMLD notional,,
Trade,,Mod. Following,MMLD FXO_MF_MMLD Yield Pay Date,Accounting Moneyflow Pay Day,,End of Day,,MMLD FXO_MF_MMLD Yield Pay Date,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,MMLD FXO_MF_MMLD Yield Pay Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_MF_MMLD Yield Pay Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD FXO_TD_Maturity Date Offbalance,Accounting Instrument Expiry Date,,End of Day,,MMLD FXO_TD_Maturity Date Offbalance,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,MMLD FXO_TD_Maturity Date Offbalance|Accounting MMLD notional|Debit,Accounting MMLD notional,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_TD_Maturity Date Offbalance|Accounting MMLD notional|Credit,Accounting MMLD notional,,
Contract Trade Number,,Mod. Following,MMLD FXO_TD_Daily Accrual,Accounting Instrument Expiry Date,,End of Day,,MMLD FXO_TD_Daily Accrual,Daily,Reverse and Replace,Accounting Instrument Start Date,Yes,Trade,SendToEMAS,Yes,,Debit,MMLD FXO_TD_Daily Accrual|Accounting MMLD Daily Accrual|Debit,Accounting MMLD Daily Accrual,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_TD_Daily Accrual|Accounting MMLD Daily Accrual|Credit,Accounting MMLD Daily Accrual,,
Trade,,Mod. Following,MMLD FXO_TD_Closing Date Offbalance,Accounting Trade Time,,End of Day,,MMLD FXO_TD_Closing Date Offbalance,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,MMLD FXO_TD_Closing Date Offbalance|Accounting MMLD notional|Debit,Accounting MMLD notional,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_TD_Closing Date Offbalance|Accounting MMLD notional|Credit,Accounting MMLD notional,,
Contract Trade Number,,Mod. Following,MMLD FXO_TD_Daily Accrual_FCY (NI),Accounting Instrument Expiry Date,,End of Day,,MMLD FXO_TD_Daily Accrual_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Start Date,Yes,Trade,,,,Debit,MMLD FXO_TD_Daily Accrual_FCY (NI)|Accounting MMLD Daily Accrual|Debit,Accounting MMLD Daily Accrual,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_TD_Daily Accrual_FCY (NI)|Accounting MMLD Daily Accrual|Credit,Accounting MMLD Daily Accrual,,
Contract Trade Number,,Mod. Following,MMLD FXO_TD_Daily Accrual_FCY_IDR,Accounting Instrument Expiry Date,,End of Day,,MMLD FXO_TD_Daily Accrual_FCY_IDR,Daily,Reverse and Replace,Accounting Instrument Start Date,Yes,Trade,FxRevalAICat,Instrument,,Debit,MMLD FXO_TD_Daily Accrual_FCY_IDR|Accounting MMLD Daily Accrual IDR|Debit,Accounting MMLD Daily Accrual IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,MMLD FXO_TD_Daily Accrual_FCY_IDR|Accounting MMLD Daily Accrual IDR|Credit,Accounting MMLD Daily Accrual IDR,,
Trade,,Mod. Following,DCI_MF_Premium Trade Date (Client),Accounting Moneyflow Trade Time,,End of Day,,DCI_MF_Premium Trade Date (Client),Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,DCI_MF_Premium Trade Date (Client)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,DCI_MF_Premium Trade Date (Client)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,DCI_MF_Premium Trade Date (Cpty),Accounting Moneyflow Trade Time,,End of Day,,DCI_MF_Premium Trade Date (Cpty),Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,DCI_MF_Premium Trade Date (Cpty)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,DCI_MF_Premium Trade Date (Cpty)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD FXO_TD_Trade Date Full Premium (For MMLD trades with instalments),Accounting Trade Time,,End of Day,,MMLD FXO_TD_Trade Date Full Premium,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,MMLD FXO_TD_Trade Date Full Premium|Accounting MMLD Full Premium|Debit,Accounting MMLD Full Premium,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_TD_Trade Date Full Premium|Accounting MMLD Full Premium|Credit,Accounting MMLD Full Premium,,
Trade,,Mod. Following,DCI_MF_Premium Pay Date (Client),Accounting Moneyflow Pay Day,,End of Day,,DCI_MF_Premium Pay Date (Client),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,DCI_MF_Premium Pay Date (Client)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,DCI_MF_Premium Pay Date (Client)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Moneyflow,,Mod. Following,MMLD FXO_MF_Payment Premium Trade Date (For MMLD trades with no instalments),Accounting Moneyflow Trade Time,,End of Day,,MMLD FXO_MF_Payment Premium Trade Date,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,MMLD FXO_MF_Payment Premium Trade Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_MF_Payment Premium Trade Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD FXO_TD_Closing Date Premium Reclass,Accounting Trade Time,,End of Day,,MMLD FXO_TD_Closing Date Premium Reclass,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,MMLD FXO_TD_Closing Date Premium Reclass|Accounting MMLD Full Premium|Debit,Accounting MMLD Full Premium,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_TD_Closing Date Premium Reclass|Accounting MMLD Full Premium|Credit,Accounting MMLD Full Premium,,
Trade,,Mod. Following,MMLD FXO_TD_Closing Date Premium Reclass_FCY (NI),Accounting Trade Time,,End of Day,,MMLD FXO_TD_Closing Date Premium Reclass_FCY (NI),Daily,Reverse and Replace,Accounting Trade Time,,Trade,,,,Debit,MMLD FXO_TD_Closing Date Premium Reclass_FCY (NI)|Accounting MMLD Full Premium|Debit,Accounting MMLD Full Premium,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_TD_Closing Date Premium Reclass_FCY (NI)|Accounting MMLD Full Premium|Credit,Accounting MMLD Full Premium,,
Trade,,Mod. Following,MMLD FXO_TD_Closing Date Premium Reclass_FCY_IDR,Accounting Trade Time,,End of Day,,MMLD FXO_TD_Closing Date Premium Reclass_FCY_IDR,Daily,Reverse and Replace,Accounting Trade Time,,Trade,FxRevalAICat,Instrument,,Debit,MMLD FXO_TD_Closing Date Premium Reclass_FCY_IDR|Accounting MMLD Full Premium IDR|Debit,Accounting MMLD Full Premium IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,MMLD FXO_TD_Closing Date Premium Reclass_FCY_IDR|Accounting MMLD Full Premium IDR|Credit,Accounting MMLD Full Premium IDR,,
Trade,,Mod. Following,MMLD_MF Reversal of Remaining Premium,Accounting Moneyflow Trade Time,,End of Day,,MMLD_MF Reversal of Remaining Premium,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,MMLD_MF Reversal of Remaining Premium|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD_MF Reversal of Remaining Premium|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,MMLD Rate_MF_Pay Date Premium Instalments,Accounting Moneyflow Pay Day,,End of Day,,MMLD Rate_MF_Pay Date Premium Instalments,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,MMLD Rate_MF_Pay Date Premium Instalments|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Pay Date Premium Instalments|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,MMLD Rate_MF_Pay Date Yield,Accounting Moneyflow Pay Day,,End of Day,,MMLD Rate_MF_Pay Date Yield,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,MMLD Rate_MF_Pay Date Yield|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Pay Date Yield|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,,MMLD Rate_TD_Daily Mark to Market,Accounting Instrument Expiry Date,,End of Day,,MMLD Rate_TD_Daily Mark to Market,Daily,Reverse and Replace,Accounting Instrument Start Date,,Trade,SendToEMAS,Yes,,Debit,MMLD Rate_TD_Daily Mark to Market|Portfolio Unrealized Profit and Loss|Debit,Portfolio Unrealized Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_TD_Daily Mark to Market|Portfolio Unrealized Profit and Loss|Credit,Portfolio Unrealized Profit and Loss,,
Contract Trdnbr and Moneyflow,,Mod. Following,MMLD Rate_MF_Trade Date Full Premium (Instalment),Accounting Moneyflow Trade Time,,End of Day,,MMLD Rate_MF_Trade Date Full Premium (Instalment),Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,MMLD Rate_MF_Trade Date Full Premium (Instalment)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Trade Date Full Premium (Instalment)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD Rate_MF_Closing Date Premium Reclass,Accounting Moneyflow Trade Time,,End of Day,,MMLD Rate_MF_Closing Date Premium Reclass,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,MMLD Rate_MF_Closing Date Premium Reclass|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Closing Date Premium Reclass|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD Rate_MF_Closing Date Premium Reclass_FCY (NI),Accounting Moneyflow Trade Time,,End of Day,,MMLD Rate_MF_Closing Date Premium Reclass_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,,,,Debit,MMLD Rate_MF_Closing Date Premium Reclass_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Closing Date Premium Reclass_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD Rate_MF_Closing Date Premium Reclass_FCY_IDR,Accounting Moneyflow Trade Time,,End of Day,,MMLD Rate_MF_Closing Date Premium Reclass_FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,FxRevalAICatFeeType,FixedFloat,,Debit,MMLD Rate_MF_Closing Date Premium Reclass_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,MMLD Rate_MF_Closing Date Premium Reclass_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,MMLD Rate_MF_Full Upfront Premium Pay Date (Cpty),Accounting Moneyflow Pay Day,,End of Day,,MMLD Rate_MF_Full Upfront Premium Pay Date (Cpty),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,MMLD Rate_MF_Full Upfront Premium Pay Date (Cpty)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Full Upfront Premium Pay Date (Cpty)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD Rate_MF_Full Upfront Premium Pay Date (Client),Accounting Moneyflow Pay Day,,End of Day,,MMLD Rate_MF_Full Upfront Premium Pay Date (Client),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,MMLD Rate_MF_Full Upfront Premium Pay Date (Client)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Full Upfront Premium Pay Date (Client)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,MMLD Rate_MF_Pay Date Yield PL,Accounting Moneyflow Pay Day,,End of Day,,MMLD Rate_MF_Pay Date Yield PL,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,MMLD Rate_MF_Pay Date Yield PL|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Pay Date Yield PL|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,MMLD Rate_MF_Pay Date Yield PL_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,MMLD Rate_MF_Pay Date Yield PL_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,MMLD Rate_MF_Pay Date Yield PL_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Pay Date Yield PL_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,MMLD Rate_MF_Pay Date Yield PL_FCY_IDR,Accounting Moneyflow Pay Day,,End of Day,,MMLD Rate_MF_Pay Date Yield PL_FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Digital Caplet,,Debit,MMLD Rate_MF_Pay Date Yield PL_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,MMLD Rate_MF_Pay Date Yield PL_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Moneyflow,,Mod. Following,MMLD FXO_MF_MMLD Yield Pay Date PL,Accounting Moneyflow Pay Day,,End of Day,,MMLD FXO_MF_MMLD Yield Pay Date PL,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,MMLD FXO_MF_MMLD Yield Pay Date PL|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_MF_MMLD Yield Pay Date PL|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD FXO_MF_MMLD Yield Pay Date PL_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,MMLD FXO_MF_MMLD Yield Pay Date PL_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,MMLD FXO_MF_MMLD Yield Pay Date PL_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD FXO_MF_MMLD Yield Pay Date PL_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD FXO_MF_MMLD Yield Pay Date PL_FCY_IDR,Accounting Moneyflow Pay Day,,End of Day,,MMLD FXO_MF_MMLD Yield Pay Date PL_FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,MMLD Payment,,Debit,MMLD FXO_MF_MMLD Yield Pay Date PL_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,MMLD FXO_MF_MMLD Yield Pay Date PL_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
